종목코드,종목명,시장구분,업종명,시가총액
148930,에이치와이티씨,KOSDAQ,IT부품,101355938520
149950,아바텍,KOSDAQ,IT부품,257523750000
149980,하이로닉,KOSDAQ,의료·정밀기기,109818526280
150840,인트로메딕,KOSDAQ,의료·정밀기기,223669017000
150900,파수,KOSDAQ,소프트웨어,91862654580
151860,KG ETS,KOSDAQ,화학,513720000000
151910,SBW생명과학,KOSDAQ,IT부품,93881082540
152550,한국ANKOR유전,KOSPI,기타금융,50904540000
153460,네이블,KOSDAQ,소프트웨어,56811121800
153490,우리이앤엘,KOSDAQ,반도체,61518600000
153710,옵티팜,KOSDAQ,제약,127335235440
154030,아시아종묘,KOSDAQ,"농업, 임업 및 어업",39034144890
154040,다산솔루에타,KOSDAQ,IT부품,38394660500
155650,와이엠씨,KOSDAQ,IT부품,120935763180
155660,DSR,KOSPI,철강금속,80480000000
155900,바다로19호,KOSPI,서비스업,43928011560
156100,엘앤케이바이오,KOSDAQ,의료·정밀기기,77216595840
158430,아톤,KOSDAQ,소프트웨어,88798791950
159010,아스플로,KOSDAQ,기계·장비,184419440370
159580,제로투세븐,KOSDAQ,유통,148441832760
159910,스킨앤스킨,KOSDAQ,반도체,53476763099
160550,NEW,KOSDAQ,오락·문화,192831192460
160600,이큐셀,KOSDAQ,기계·장비,106895911200
160980,싸이맥스,KOSDAQ,반도체,149115916950
161000,애경케미칼,KOSPI,화학,877136223270
161390,한국타이어앤테크놀로지,KOSPI,화학,4366596182250
161570,THE MIDONG,KOSDAQ,정보기기,29763205300
161580,필옵틱스,KOSDAQ,IT부품,223432731550
161890,한국콜마,KOSPI,화학,890077902000
162300,신스틸,KOSDAQ,금속,162994682660
163560,동일고무벨트,KOSPI,화학,92574000000
163730,핑거,KOSDAQ,소프트웨어,109386283410
164060,이루다,KOSDAQ,의료·정밀기기,135163724540
166090,하나머티리얼즈,KOSDAQ,반도체,901709568100
166480,코아스템켐온,KOSDAQ,제약,278083380960
168330,내츄럴엔도텍,KOSDAQ,기타서비스,88913720000
168360,펨트론,KOSDAQ,기계·장비,154340059000
168490,한국패러랠,KOSPI,기타금융,174043500000
169330,엠브레인,KOSDAQ,기타서비스,60853471530
170030,현대공업,KOSDAQ,운송장비·부품,132691000000
170790,파이오링크,KOSDAQ,통신장비,97291322700
170900,동아에스티,KOSPI,의약품,483285118800
170920,엘티씨,KOSDAQ,반도체,93313283550
171010,램테크놀러지,KOSDAQ,반도체,86336995680
171090,선익시스템,KOSDAQ,반도체,349753371800
171120,라이온켐텍,KOSDAQ,화학,162295817840
173130,오파스넷,KOSDAQ,소프트웨어,173636695200
173940,에프엔씨엔터,KOSDAQ,오락·문화,91725779930
174880,장원테크,KOSDAQ,통신장비,11610352250
174900,앱클론,KOSDAQ,제약,340048328350
175140,인포마크,KOSDAQ,통신장비,119935981000
175250,아이큐어,KOSDAQ,제약,123003655200
175330,JB금융지주,KOSPI,기타금융,1680264085820
177350,베셀,KOSDAQ,반도체,65472960150
177830,파버나인,KOSDAQ,일반전기전자,65085269915
178320,서진시스템,KOSDAQ,통신장비,636991881900
178780,일월지엠엘,KOSDAQ,유통,116465295400
178920,PI첨단소재,KOSPI,화학,994049999700
179290,엠아이텍,KOSDAQ,의료·정밀기기,338820402900
179530,애드바이오텍,KOSDAQ,제약,38344162580
179900,유티아이,KOSDAQ,IT부품,359126034750
180400,DXVX,KOSDAQ,기타서비스,248211357150
180640,한진칼,KOSPI,운수창고업,3154494861000
18064K,한진칼우,KOSPI,운수창고업,16049303400
181340,이즈미디어,KOSDAQ,의료·정밀기기,54259503030
181710,NHN,KOSPI,서비스업,941543579900
182360,큐브엔터,KOSDAQ,오락·문화,296110536150
182400,엔케이맥스,KOSDAQ,제약,537074599650
183190,아세아시멘트,KOSPI,비금속광물,417630724800
183300,코미코,KOSDAQ,반도체,543108227400
